n_particles,dimensions,alpha,sampler,mean_energy,energy_per_particle,standard_error_naive,variance,acceptance_rate,elapsed_time,exact_ground_energy,exact_variational_energy,energy_error_vs_variational
1,1,0.3,brute,0.5773155758810371,0.5773155758810371,0.0017483015426912904,0.1528279142088373,0.7862727272727272,2.0385453409980983,0.5,0.5666666666666667,0.01064890921437045
1,1,0.35,brute,0.5255483718995917,0.5255483718995917,0.001104086257175161,0.06095032316415276,0.7729454545454545,2.1357948369986843,0.5,0.5321428571428571,-0.006594485243265447
1,1,0.39999999999999997,brute,0.5104902834495884,0.5104902834495884,0.0007080794200937746,0.025068823258016803,0.7562727272727273,2.0358656859971234,0.5,0.5125,-0.0020097165504116
1,1,0.44999999999999996,brute,0.5021560395187518,0.5021560395187518,0.0003343874658215868,0.0055907488649291435,0.7461636363636364,2.47960196799977,0.5,0.5027777777777778,-0.0006217382590260057
1,1,0.5,brute,0.5,0.5,0.0,0.0,0.7297818181818182,2.251835036004195,0.5,0.5,0.0
1,1,0.5499999999999999,brute,0.5013300487036887,0.5013300487036887,0.0003070268998224893,0.004713275860730445,0.7168727272727273,2.4421237479982665,0.5,0.5022727272727272,-0.0009426785690385131
1,1,0.6,brute,0.5105313529179518,0.5105313529179518,0.0005648753989265817,0.015954210815623242,0.7088,2.3519437680006376,0.5,0.5083333333333333,0.0021980195846185158
1,1,0.6499999999999999,brute,0.5183643682050854,0.5183643682050854,0.0008109541256381736,0.032882329694478726,0.692509090909091,2.254390936999698,0.5,0.5173076923076922,0.0010566758973931112
1,1,0.7,brute,0.526290783123816,0.526290783123816,0.001123453904358698,0.06310743376094012,0.6856545454545454,2.6086773149945657,0.5,0.5285714285714286,-0.002280645447612528
10,1,0.3,brute,5.679858135722631,0.5679858135722631,0.005401920864586345,1.4590374513626643,0.787410909090909,15.963459689999581,5.0,5.666666666666666,0.013191469055964689
10,1,0.35,brute,5.306967891673624,0.5306967891673624,0.0036202651261156575,0.6553159791684608,0.7708509090909091,14.818468079000013,5.0,5.321428571428571,-0.014460679754947137
10,1,0.39999999999999997,brute,5.11947452208613,0.511947452208613,0.002215626798588064,0.24545010553107965,0.7561872727272727,15.236793932999717,5.0,5.125,-0.005525477913869814
10,1,0.44999999999999996,brute,5.021830274707108,0.5021830274707109,0.0010425177360726537,0.05434216150130256,0.7425181818181819,15.209765265994065,5.0,5.027777777777778,-0.005947503070669491
10,1,0.5,brute,5.0,0.5,0.0,0.0,0.7289927272727272,14.763528856004996,5.0,5.0,0.0
10,1,0.5499999999999999,brute,5.0233410085844845,0.5023341008584484,0.0009487753374562802,0.045008732048263916,0.7180545454545455,14.939351237000665,5.0,5.022727272727272,0.0006137358572129159
10,1,0.6,brute,5.082884690183628,0.5082884690183629,0.0018206843570991314,0.16574457640927387,0.7051236363636364,14.669941114996618,5.0,5.083333333333333,-0.0004486431497046084
10,1,0.6499999999999999,brute,5.1753729720089074,0.5175372972008907,0.002643025371994956,0.3492791558504537,0.69474,15.223501246000524,5.0,5.1730769230769225,0.002296048931984984
10,1,0.7,brute,5.293688967666464,0.5293688967666463,0.0034042362680524905,0.5794412284361975,0.6844018181818182,15.130725454997446,5.0,5.285714285714286,0.007974681952178209
100,1,0.3,brute,56.64378154167416,0.5664378154167415,0.016827492670909477,14.158225479475604,0.7865209090909091,150.48754273799568,50.0,56.666666666666664,-0.022885124992505723
100,1,0.35,brute,53.203460641372445,0.5320346064137245,0.011619964715068695,6.751178998972074,0.7705243636363637,142.20939715300483,50.0,53.214285714285715,-0.010825072913270617
100,1,0.39999999999999997,brute,51.232465269736274,0.5123246526973627,0.007112168541067916,2.529147067827806,0.755878909090909,149.5458802360008,50.0,51.24999999999999,-0.01753473026371921
100,1,0.44999999999999996,brute,50.27622130655339,0.5027622130655339,0.003321919329014823,0.5517574014241147,0.7421772727272727,148.8661886800037,50.0,50.27777777777778,-0.0015564712243900658
100,1,0.5,brute,50.0,0.5,0.0,0.0,0.7291938181818182,149.78450996200263,50.0,50.0,0.0
100,1,0.5499999999999999,brute,50.23747586503084,0.5023747586503083,0.0030449234535771157,0.4635779419071995,0.717272,147.13875936599652,50.0,50.22727272727272,0.01020313775811843
100,1,0.6,brute,50.831486409230884,0.5083148640923089,0.005766494002253724,1.6626226539014086,0.7052732727272727,152.11873888099944,50.0,50.83333333333333,-0.0018469241024448024
100,1,0.6499999999999999,brute,51.702911255044555,0.5170291125504456,0.008440097444423169,3.5617622435679253,0.6945418181818181,142.931625877005,50.0,51.730769230769226,-0.027857975724671746
100,1,0.7,brute,52.85373214847071,0.5285373214847071,0.010868183246331023,5.905870353791518,0.6843823636363636,158.10967223400075,50.0,52.85714285714286,-0.0034107086721490987
500,1,0.3,brute,283.33548635114903,0.566670972702298,0.0376313868974699,70.80606399135344,0.78677,815.2076414420007,250.0,283.3333333333333,0.002153017815714975
500,1,0.35,brute,266.0862992098383,0.5321725984196766,0.025682631731740978,32.979878633411424,0.770599090909091,776.7656724389963,250.0,266.07142857142856,0.01487063840971814
500,1,0.39999999999999997,brute,256.24441688362384,0.5124888337672476,0.016009755386371106,12.81561337657193,0.7558243636363636,765.3417128459987,250.0,256.25,-0.005583116376158159
500,1,0.44999999999999996,brute,251.38008685817172,0.5027601737163434,0.007441014144461518,2.768434574903819,0.741881890909091,291.7102745739976,250.0,251.38888888888889,-0.008802030717163234
500,1,0.5,brute,250.0,0.5,0.0,0.0,0.7289499272727272,257.14689412200096,250.0,250.0,0.0
500,1,0.5499999999999999,brute,251.13747071729307,0.5022749414345862,0.006756261994879882,2.2823538071729144,0.7170555636363637,261.96417005499825,250.0,251.1363636363636,0.001107080929472204
500,1,0.6,brute,254.16627543866434,0.5083325508773286,0.0128477525677703,8.253237302132417,0.7055849454545454,264.0335594520002,250.0,254.16666666666666,-0.00039122800231439214
500,1,0.6499999999999999,brute,258.63681627006923,0.5172736325401385,0.01866962487268276,17.427744644334734,0.6948266909090909,260.9605241820027,250.0,258.65384615384613,-0.017029883776899624
500,1,0.7,brute,264.3522418152953,0.5287044836305906,0.02443795011448904,29.860670289912743,0.6845292727272727,256.8760725920001,250.0,264.2857142857143,0.06652752958103747
1,2,0.3,brute,1.133220173710929,1.133220173710929,0.0023698735523517227,0.2808150327068087,0.6805818181818182,0.8162132609941182,1.0,1.1333333333333333,-0.00011315962240421307
1,2,0.35,brute,1.0620066587447352,1.0620066587447352,0.0016451404015782667,0.13532434704525503,0.6544363636363636,0.8254867430005106,1.0,1.0642857142857143,-0.002279055540979069
1,2,0.39999999999999997,brute,1.0285755470787197,1.0285755470787197,0.0010231150883261344,0.0523382241980297,0.6368545454545455,0.8179409790027421,1.0,1.025,0.003575547078719765
1,2,0.44999999999999996,brute,1.0043897517452827,1.0043897517452827,0.0004582460563112363,0.010499472406240037,0.6150727272727273,0.8336979970044922,1.0,1.0055555555555555,-0.0011658038102728696
1,2,0.5,brute,1.0,1.0,0.0,0.0,0.5953090909090909,0.8571669020020636,1.0,1.0,0.0
1,2,0.5499999999999999,brute,1.0023854847071563,1.0023854847071563,0.00043974221099370083,0.009668660606481423,0.5812909090909091,0.8303858170038438,1.0,1.0045454545454544,-0.002159969838298137
1,2,0.6,brute,1.018925961440278,1.018925961440278,0.0008052952578967783,0.03242502261955193,0.5645636363636364,0.8309378850026405,1.0,1.0166666666666666,0.002259294773611309
1,2,0.6499999999999999,brute,1.0292690391798751,1.0292690391798751,0.001221140137238839,0.07455916173878452,0.5499636363636363,0.8455624109992641,1.0,1.0346153846153845,-0.005346345435509381
1,2,0.7,brute,1.0570249709018111,1.0570249709018111,0.0015322421734668174,0.11738830390751581,0.5375636363636364,0.8241612310011988,1.0,1.0571428571428572,-0.00011788624104602796
10,2,0.3,brute,11.365397233002128,1.1365397233002128,0.0076445784660777606,2.92197899620099,0.6780254545454546,5.798422637999465,10.0,11.333333333333332,0.032063899668795415
10,2,0.35,brute,10.654739552230236,1.0654739552230237,0.005175664568099953,1.3393751860742633,0.6542654545454546,5.873302136998973,10.0,10.642857142857142,0.011882409373093594
10,2,0.39999999999999997,brute,10.249172806693322,1.024917280669332,0.00321605793468763,0.5171514319633631,0.632989090909091,5.825626175996149,10.0,10.25,-0.0008271933066783532
10,2,0.44999999999999996,brute,10.058225501008314,1.0058225501008313,0.001487411786736823,0.11061969116618141,0.6140763636363636,5.902624559006654,10.0,10.055555555555555,0.002669945452758782
10,2,0.5,brute,10.0,1.0,0.0,0.0,0.5962654545454545,5.834829904000799,10.0,10.0,0.0
10,2,0.5499999999999999,brute,10.046071949450619,1.004607194945062,0.0013536478486594992,0.0916181249090245,0.5795145454545455,5.782559816005232,10.0,10.045454545454543,0.0006174039960757938
10,2,0.6,brute,10.170291706364852,1.0170291706364851,0.0025864043222598564,0.3344743659102234,0.5622509090909091,5.881792943997425,10.0,10.166666666666666,0.003625039698185617
10,2,0.6499999999999999,brute,10.341866512201177,1.0341866512201177,0.0037869889778535276,0.7170642759192053,0.5474054545454545,5.81127825799922,10.0,10.346153846153845,-0.004287333952667893
10,2,0.7,brute,10.567236171517651,1.056723617151765,0.004838476366820199,1.1705426776138796,0.5333618181818182,5.82617234600184,10.0,10.571428571428571,-0.00419239991092013
100,2,0.3,brute,113.25834782969743,1.1325834782969744,0.023703748540367997,28.093384743249903,0.6789814545454546,56.399153698999726,100.0,113.33333333333333,-0.07498550363590084
100,2,0.35,brute,106.49579321043593,1.0649579321043594,0.01622085610916373,13.15580864570971,0.65519,56.46610250000231,100.0,106.42857142857143,0.06722178186450378
100,2,0.39999999999999997,brute,102.44187426880343,1.0244187426880342,0.009962117802425643,4.962189555470295,0.6336370909090909,56.8184298749984,100.0,102.49999999999999,-0.0581257311965544
100,2,0.44999999999999996,brute,100.55971792476751,1.0055971792476752,0.004721649292395631,1.1146986020190082,0.6137432727272727,56.389935182000045,100.0,100.55555555555556,0.004162369211954342
100,2,0.5,brute,100.0,1.0,0.0,0.0,0.595952,56.39155642599508,100.0,100.0,0.0
100,2,0.5499999999999999,brute,100.45169881504437,1.0045169881504437,0.004258572709405373,0.9067720760646111,0.5780670909090909,56.65444523000042,100.0,100.45454545454544,-0.0028466395010724455
100,2,0.6,brute,101.64098136182696,1.0164098136182695,0.00813259304910561,3.306953485118044,0.5625585454545454,56.560774368997954,100.0,101.66666666666666,-0.025685304839697665
100,2,0.6499999999999999,brute,103.45541288624516,1.0345541288624516,0.011822732721784532,6.988850450537735,0.5475516363636364,56.585003132000566,100.0,103.46153846153845,-0.006125575293296492
100,2,0.7,brute,105.71941160801384,1.0571941160801384,0.015483286579849069,11.986608165686714,0.5334605454545455,56.65765835400089,100.0,105.71428571428572,0.005125893728120445
