n_particles,dimensions,alpha,time_step,sampler,mean_energy,energy_per_particle,standard_error_naive,variance,acceptance_rate,elapsed_time,exact_ground_energy,energy_error_vs_exact
100,1,0.5,0.001,importance,50.0,0.5,0.0,0.0,0.9999932727272727,156.1973445190015,50.0,0.0
100,1,0.5,0.005,importance,50.0,0.5,0.0,0.0,0.9999170909090909,156.32203093299904,50.0,0.0
100,1,0.5,0.01,importance,50.0,0.5,0.0,0.0,0.9997707272727273,160.19849792299647,50.0,0.0
100,1,0.5,0.05,importance,50.0,0.5,0.0,0.0,0.9974749090909091,158.42454564699437,50.0,0.0
100,1,0.5,0.1,importance,50.0,0.5,0.0,0.0,0.9929547272727273,157.47188025099604,50.0,0.0
100,1,0.5,0.2,importance,50.0,0.5,0.0,0.0,0.9798787272727273,157.5110221760042,50.0,0.0
100,2,0.5,0.001,importance,100.0,1.0,0.0,0.0,0.9999910909090909,168.75870941600442,100.0,0.0
100,2,0.5,0.005,importance,100.0,1.0,0.0,0.0,0.9998796363636364,168.73329050200118,100.0,0.0
100,2,0.5,0.01,importance,100.0,1.0,0.0,0.0,0.9996307272727273,168.3391304329998,100.0,0.0
100,2,0.5,0.05,importance,100.0,1.0,0.0,0.0,0.9960716363636364,168.30408677899686,100.0,0.0
100,2,0.5,0.1,importance,100.0,1.0,0.0,0.0,0.9888412727272727,168.0018210470007,100.0,0.0
100,2,0.5,0.2,importance,100.0,1.0,0.0,0.0,0.9683769090909091,168.37126982500195,100.0,0.0
100,3,0.5,0.001,importance,150.0,1.5,0.0,0.0,0.9999863636363636,194.4056573609996,150.0,0.0
100,3,0.5,0.005,importance,150.0,1.5,0.0,0.0,0.9998321818181818,194.9904520189957,150.0,0.0
100,3,0.5,0.01,importance,150.0,1.5,0.0,0.0,0.9995407272727272,195.19763255499856,150.0,0.0
100,3,0.5,0.05,importance,150.0,1.5,0.0,0.0,0.994926,195.2242308929999,150.0,0.0
100,3,0.5,0.1,importance,150.0,1.5,0.0,0.0,0.9857958181818182,194.88836281000113,150.0,0.0
100,3,0.5,0.2,importance,150.0,1.5,0.0,0.0,0.9597325454545454,194.72826567300217,150.0,0.0
