case,r,probability_density
no_jastrow,0.025,0.001445086705202312
no_jastrow,0.07500000000000001,0.007836816362827924
no_jastrow,0.125,0.020675855935971536
no_jastrow,0.17500000000000002,0.0396843041351712
no_jastrow,0.225,0.06502890173410406
no_jastrow,0.275,0.09615384615384608
no_jastrow,0.32500000000000007,0.1351711871943086
no_jastrow,0.375,0.16785237883503784
no_jastrow,0.42500000000000004,0.2098710538016897
no_jastrow,0.475,0.25683637172076484
no_jastrow,0.525,0.304135171187194
no_jastrow,0.5750000000000001,0.34309693196976404
no_jastrow,0.625,0.3891729657625616
no_jastrow,0.675,0.42496665184526417
no_jastrow,0.7250000000000001,0.4731547354379731
no_jastrow,0.775,0.5029457536682965
no_jastrow,0.8250000000000001,0.5503557136505108
no_jastrow,0.875,0.5700867052023129
no_jastrow,0.925,0.6004335260115601
no_jastrow,0.9750000000000001,0.6090484659848829
no_jastrow,1.025,0.6292240995998216
no_jastrow,1.0750000000000002,0.635171187194308
no_jastrow,1.125,0.6547354379724316
no_jastrow,1.1750000000000003,0.6500111160515779
no_jastrow,1.225,0.6416184971098289
no_jastrow,1.275,0.6468430413517113
no_jastrow,1.3250000000000002,0.6361160515784787
no_jastrow,1.375,0.612605602489995
no_jastrow,1.4250000000000003,0.5998221431747438
no_jastrow,1.475,0.5889839928857291
no_jastrow,1.525,0.5721431747443303
no_jastrow,1.5750000000000002,0.5444642063139168
no_jastrow,1.625,0.521787461093819
no_jastrow,1.6750000000000003,0.49249666518452606
no_jastrow,1.725,0.4718208092485566
no_jastrow,1.775,0.44497554468652695
no_jastrow,1.8250000000000002,0.4132392174299685
no_jastrow,1.875,0.3960093374833256
no_jastrow,1.9250000000000003,0.36421742996887474
no_jastrow,1.975,0.3478768341485117
no_jastrow,2.0250000000000004,0.32175411293908235
no_jastrow,2.075,0.29507558915073473
no_jastrow,2.125,0.27006447309915615
no_jastrow,2.175,0.25372387727878926
no_jastrow,2.225,0.23371498443752864
no_jastrow,2.2750000000000004,0.2115384615384604
no_jastrow,2.325,0.19280791462872457
no_jastrow,2.375,0.17185415740328944
no_jastrow,2.4250000000000003,0.16012672298799524
no_jastrow,2.475,0.14217429968875106
no_jastrow,2.5250000000000004,0.13389284126278275
no_jastrow,2.575,0.11555135615829298
no_jastrow,2.625,0.10293463761671799
no_jastrow,2.6750000000000003,0.09320809248554945
no_jastrow,2.725,0.08270342374388646
no_jastrow,2.7750000000000004,0.07686749666518411
no_jastrow,2.825,0.06502890173410428
no_jastrow,2.875,0.057636727434414996
no_jastrow,2.9250000000000003,0.04896620720320159
no_jastrow,2.975,0.04646509559804374
no_jastrow,3.0250000000000004,0.04035126722987973
no_jastrow,3.075,0.03445975989328603
no_jastrow,3.125,0.02934637616718526
no_jastrow,3.1750000000000003,0.025122276567363364
no_jastrow,3.225,0.023955091151623028
no_jastrow,3.2750000000000004,0.021509559804357377
no_jastrow,3.325,0.019453090262338886
no_jastrow,3.375,0.016118274788794934
no_jastrow,3.4250000000000003,0.015117830146731934
no_jastrow,3.475,0.009948866162739031
no_jastrow,3.5250000000000004,0.01150511338372604
no_jastrow,3.575,0.008670520231213903
no_jastrow,3.625,0.007058692752334333
no_jastrow,3.6750000000000003,0.0066140506891952215
no_jastrow,3.725,0.005669186305024476
no_jastrow,3.7750000000000004,0.004335260115606913
no_jastrow,3.825,0.003279235215651412
